symbol,bars,raw_signals,confirmed_signals,rejected_signals,trades,win_rate,avg_pnl,gross_pnl,max_drawdown
ADANIENT(Adani Enterpris),975,34,7,27,7,0.5714,1.8083,12.6584,9.0206
ADANIPORTS(Adani Ports),975,36,6,30,6,0.3333,-0.4059,-2.4357,4.6049
APOLLOHOSP(Apollo Hospital),975,74,12,62,12,0.5,3.1105,37.3263,37.1142
ASIANPAINT(Asian Paints),975,37,8,29,8,0.375,0.3932,3.1458,11.9006
AXISBANK(Axis Bank),975,46,7,39,7,0.4286,0.3974,2.7819,6.0388
BAJAJ-AUTO(Bajaj Auto),975,45,4,41,4,0.25,-5.4583,-21.8331,29.8205
BAJAJFINSV(Bajaj Finserv),975,43,6,37,6,0.3333,-0.5752,-3.4512,10.8338
BAJFINANCE(Bajaj Finance),975,51,11,40,11,0.3636,-0.1421,-1.5635,6.656
BEL(Bharat Elec),975,45,6,39,6,0.8333,0.5856,3.5139,0.5544
BHARTIARTL(Bharti Airtel),975,43,8,35,8,0.5,0.8596,6.8768,12.5888
BPCL(BPCL),975,47,10,37,10,0.7,0.3931,3.9308,0.522
BRITANNIA(Britannia),975,49,7,42,7,0.1429,-5.0284,-35.1989,49.5209
CIPLA(Cipla),975,38,7,31,7,0.5714,1.2057,8.4399,8.7742
COALINDIA(Coal India),975,34,5,29,5,0.6,0.373,1.865,0.7668
DRREDDY(Dr Reddys Labs),975,50,5,45,5,0.4,0.2581,1.2903,5.485
EICHERMOT(Eicher Motors),975,53,13,40,13,0.2308,-4.2467,-55.2067,55.3652
GRASIM(Grasim),975,60,10,50,10,0.5,1.1876,11.8764,14.4858
HCLTECH(HCL Tech),975,51,8,43,8,0.25,-1.1651,-9.3205,9.3788
HDFCBANK(HDFC Bank),975,50,13,37,13,0.1538,-1.0403,-13.5239,14.3401
HDFCLIFE(HDFC Life),975,61,15,46,15,0.2,-0.619,-9.2847,11.1715
HEROMOTOCO(Hero Motocorp),975,49,6,43,6,0.6667,4.8435,29.0612,14.4235
HINDALCO(Hindalco),975,39,6,33,6,0.6667,0.8664,5.1983,2.7506
HINDUNILVR(HUL),975,44,12,32,12,0.4167,0.1576,1.8908,13.3457
ICICIBANK(ICICI Bank),975,43,7,36,7,0.2857,-0.694,-4.858,6.0699
INDUSINDBK(IndusInd Bank),975,37,10,27,10,0.5,0.5054,5.0541,3.8882
INFY(Infosys),975,41,6,35,6,0.0,-3.4144,-20.4866,20.4866
ITC(ITC),975,60,12,48,12,0.5,0.2012,2.4138,2.4142
JSWSTEEL(JSW Steel),975,59,14,45,14,0.3571,-0.2338,-3.2731,12.1948
KOTAKBANK(Kotak Mahindra),975,42,7,35,7,0.5714,1.6501,11.551,3.8607
LT(Larsen),975,41,7,34,7,0.1429,-4.1278,-28.8945,28.8945
M&M(M&M),975,43,8,35,8,0.25,-2.0104,-16.0834,24.0334
MARUTI(Maruti Suzuki),975,37,10,27,10,0.6,11.6025,116.0252,46.6545
NESTLEIND(Nestle),975,42,7,35,7,0.2857,-0.6225,-4.3576,7.747
NTPC(NTPC),975,48,11,37,11,0.2727,-0.2043,-2.2469,3.5016
ONGC(ONGC),975,53,10,43,10,0.2,-0.2279,-2.2786,2.7415
POWERGRID(Power Grid Corp),975,42,9,33,9,0.0,-0.5256,-4.7306,4.7306
RELIANCE(Reliance),975,47,12,35,12,0.4167,0.09,1.0799,7.4542
SBILIFE(SBI Life Insura),975,52,9,43,9,0.3333,-0.3747,-3.372,10.4299
SBIN(SBI),975,56,7,49,7,0.4286,-0.1831,-1.282,3.675
SHRIRAMFIN(Shriram Finance),975,55,9,46,9,0.5556,0.4843,4.3591,2.56
SUNPHARMA(Sun Pharma),975,49,8,41,8,0.25,-1.2191,-9.7528,16.1561
TATACONSUM(TATA Cons. Prod),975,75,14,61,14,0.0714,-1.5709,-21.9931,21.9931
TATAMOTORS(Tata Motors),975,53,12,41,12,0.4167,0.0449,0.5387,3.902
TATASTEEL(Tata Steel),975,36,5,31,5,0.4,-0.0018,-0.009,0.6125
TCS(TCS),975,55,9,46,9,0.3333,-1.1688,-10.5188,21.5738
TECHM(Tech Mahindra),975,43,3,40,3,0.3333,-0.4986,-1.4959,5.9627
TITAN(Titan Company),975,52,9,43,9,0.4444,0.7303,6.5724,12.149
TRENT(Trent),975,39,8,31,8,0.75,8.7441,69.9527,20.0243
ULTRACEMCO(UltraTechCement),975,48,3,45,3,0.3333,-3.3646,-10.0938,20.9056
WIPRO(Wipro),975,41,7,34,7,0.5714,0.2425,1.6977,1.1473
